Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Japan,2011,Diabetes,Cardiovascular,0.16,9.77,3.43,61+,Female,227359.0,90.17,1.17,0.75,Medication,27085.0,Yes,83.32,3224.0,1.14,87224.0,0.74,49.0
Mexico,2022,Alzheimer'S Disease,Viral,0.66,12.95,4.14,61+,Other,569137.0,72.38,0.92,9.7,Medication,17206.0,Yes,77.59,4445.0,5.24,63029.0,0.61,86.06
Turkey,2022,Hiv/Aids,Bacterial,0.32,11.39,7.5,61+,Female,980545.0,64.84,0.68,7.88,Therapy,22648.0,Yes,59.86,4195.0,0.33,70178.0,0.74,67.4
Turkey,2011,Covid-19,Respiratory,0.95,14.19,2.43,36-60,Other,56036.0,80.24,4.7,1.44,Vaccination,11413.0,Yes,50.6,1600.0,2.13,54576.0,0.9,67.54
Indonesia,2015,Rabies,Parasitic,0.75,9.17,3.64,36-60,Female,961766.0,56.22,3.78,8.95,Vaccination,24339.0,Yes,93.25,3346.0,1.29,91596.0,0.43,81.75
Turkey,2015,Cancer,Neurological,0.16,1.44,8.34,0-18,Male,635959.0,60.07,2.37,4.55,Therapy,36462.0,No,96.23,2598.0,9.53,89417.0,0.47,21.88
Nigeria,2014,Hypertension,Autoimmune,0.66,14.34,8.27,61+,Male,304230.0,58.35,1.42,8.28,Medication,31113.0,No,96.9,2402.0,9.69,10333.0,0.78,33.91
China,2020,Rabies,Neurological,0.15,11.45,2.74,0-18,Other,642699.0,66.13,2.49,2.55,Medication,18804.0,No,75.66,1784.0,7.0,8944.0,0.62,23.24
Germany,2017,Malaria,Bacterial,0.55,2.49,3.7,19-35,Other,349562.0,96.07,4.82,5.61,Therapy,19051.0,No,61.87,4710.0,7.44,2654.0,0.84,82.86
Germany,2013,Hypertension,Chronic,0.34,0.59,9.46,19-35,Other,950997.0,50.97,1.15,9.65,Vaccination,48513.0,No,64.3,1131.0,5.93,83861.0,0.44,65.65
Australia,2012,Ebola,Autoimmune,0.86,5.43,5.8,36-60,Other,781783.0,84.22,4.09,1.46,Medication,12559.0,Yes,87.59,1292.0,5.78,26961.0,0.69,23.48
Usa,2017,Tuberculosis,Parasitic,0.94,0.65,2.89,61+,Male,913151.0,95.25,2.59,8.51,Vaccination,27166.0,Yes,75.56,3230.0,4.09,39973.0,0.87,81.88
Canada,2017,Asthma,Infectious,0.28,0.57,3.01,19-35,Female,297425.0,59.04,2.47,3.33,Surgery,20117.0,Yes,92.07,2931.0,0.36,20683.0,0.62,71.35
Japan,2016,Measles,Genetic,0.84,3.57,2.33,36-60,Male,301636.0,89.27,4.29,6.3,Vaccination,49141.0,Yes,72.92,3205.0,1.14,60793.0,0.49,27.84
Usa,2019,Measles,Chronic,0.45,6.26,0.59,19-35,Male,361646.0,85.86,1.86,6.46,Surgery,43981.0,No,80.27,518.0,3.83,14831.0,0.89,26.04
Argentina,2015,Influenza,Metabolic,0.95,1.92,9.8,0-18,Male,3390.0,63.47,3.5,1.51,Vaccination,38290.0,Yes,65.41,1839.0,3.46,29198.0,0.58,78.26
Indonesia,2016,Leprosy,Infectious,0.16,14.07,1.15,36-60,Male,81623.0,55.2,2.67,9.84,Medication,36762.0,Yes,64.06,2436.0,8.04,29924.0,0.46,42.97
Italy,2022,Rabies,Viral,0.95,13.73,0.95,19-35,Female,617010.0,54.95,2.97,6.46,Vaccination,34909.0,No,67.58,670.0,5.36,57333.0,0.46,68.87
Nigeria,2011,Leprosy,Viral,0.35,13.14,2.44,61+,Male,10843.0,81.91,2.99,1.97,Therapy,37090.0,No,70.04,3974.0,5.65,95053.0,0.65,35.83
China,2017,Hepatitis,Respiratory,0.29,12.26,8.75,0-18,Other,26689.0,69.42,2.87,9.34,Vaccination,22863.0,Yes,54.46,117.0,5.41,9645.0,0.55,78.99
Italy,2013,Dengue,Viral,0.91,13.84,5.52,36-60,Male,894672.0,84.21,3.47,3.24,Vaccination,14518.0,No,69.88,2190.0,8.41,88072.0,0.47,37.69
Australia,2018,Leprosy,Autoimmune,0.55,4.63,5.38,61+,Other,656606.0,55.56,3.4,5.46,Vaccination,42773.0,No,66.25,973.0,7.11,86079.0,0.87,37.32
Nigeria,2014,Parkinson'S Disease,Metabolic,0.67,11.94,8.14,36-60,Female,98641.0,71.27,3.26,3.1,Therapy,30555.0,No,73.33,2034.0,9.64,47732.0,0.82,49.6
Russia,2021,Measles,Parasitic,0.95,6.09,4.32,0-18,Other,113860.0,94.14,1.18,8.4,Therapy,19485.0,No,63.97,457.0,2.61,55632.0,0.58,76.56
Argentina,2024,Diabetes,Metabolic,0.79,13.71,0.79,19-35,Male,613147.0,54.48,4.95,6.88,Vaccination,40962.0,No,94.07,2527.0,8.06,76589.0,0.85,69.85
Saudi Arabia,2013,Diabetes,Cardiovascular,0.8,14.16,4.89,36-60,Female,468539.0,79.56,1.31,6.3,Therapy,19525.0,Yes,82.58,2252.0,1.53,952.0,0.9,21.93
Australia,2010,Hepatitis,Respiratory,0.3,9.44,9.21,0-18,Male,573464.0,51.23,2.05,2.37,Surgery,27320.0,No,96.51,4910.0,5.25,70569.0,0.56,24.05
Usa,2015,Covid-19,Cardiovascular,0.12,1.07,8.69,61+,Male,653525.0,88.22,0.76,4.51,Vaccination,48809.0,Yes,97.28,2377.0,6.94,33490.0,0.74,26.08
Brazil,2012,Influenza,Metabolic,0.72,4.93,3.56,0-18,Other,411147.0,68.69,0.98,8.3,Medication,3779.0,No,87.24,578.0,9.31,22792.0,0.64,62.6
France,2015,Dengue,Cardiovascular,0.73,13.46,5.08,0-18,Other,369591.0,61.91,1.72,8.32,Surgery,21001.0,No,57.73,2214.0,3.13,26829.0,0.89,59.7
Mexico,2013,Malaria,Bacterial,0.68,11.25,5.79,19-35,Female,981092.0,54.17,0.81,0.93,Medication,14235.0,Yes,72.72,3907.0,1.62,67758.0,0.89,60.56
Argentina,2011,Hiv/Aids,Infectious,0.4,6.86,4.63,0-18,Female,886461.0,77.99,4.4,2.23,Medication,39691.0,Yes,70.43,3885.0,5.89,9614.0,0.53,36.72
France,2024,Measles,Infectious,0.88,14.9,4.5,19-35,Other,387923.0,69.89,4.95,0.53,Medication,1775.0,No,68.9,111.0,0.26,44536.0,0.54,72.75
Nigeria,2015,Dengue,Bacterial,0.85,13.22,6.42,19-35,Male,738620.0,51.72,3.69,3.43,Surgery,41387.0,Yes,78.06,4890.0,5.91,82004.0,0.55,43.03
Turkey,2020,Tuberculosis,Respiratory,0.17,13.27,3.88,61+,Female,275968.0,79.25,4.85,9.23,Surgery,5337.0,Yes,87.15,4733.0,6.58,36425.0,0.82,24.63
France,2020,Cholera,Respiratory,0.57,0.18,2.04,0-18,Other,349380.0,81.37,4.69,9.47,Surgery,35583.0,Yes,61.12,1199.0,7.1,9426.0,0.53,81.48
Russia,2010,Tuberculosis,Cardiovascular,0.29,14.89,5.56,61+,Male,927814.0,70.68,3.66,8.31,Surgery,26854.0,No,60.0,3417.0,3.33,51642.0,0.42,57.11
Saudi Arabia,2023,Covid-19,Cardiovascular,0.43,5.65,4.4,0-18,Other,588753.0,92.79,4.77,1.34,Medication,40428.0,No,74.25,1305.0,6.72,10791.0,0.56,62.09
South Korea,2021,Malaria,Cardiovascular,0.78,3.87,1.4,36-60,Other,982733.0,56.71,2.24,9.85,Medication,23566.0,No,75.9,667.0,6.15,36677.0,0.46,79.18
Russia,2015,Tuberculosis,Respiratory,0.7,3.13,1.77,0-18,Other,4571.0,77.75,4.64,5.91,Vaccination,17146.0,No,53.52,4259.0,9.38,36410.0,0.73,68.96
India,2017,Cancer,Chronic,0.48,12.32,2.69,36-60,Other,194680.0,65.36,1.69,9.38,Medication,4819.0,No,95.08,4238.0,6.81,19967.0,0.69,52.24
Germany,2012,Influenza,Parasitic,0.21,13.15,3.15,61+,Female,57359.0,52.51,2.72,9.96,Surgery,30501.0,No,75.59,652.0,3.63,24704.0,0.66,85.67
Canada,2012,Hypertension,Metabolic,0.88,9.92,6.18,19-35,Male,158749.0,76.05,4.67,1.36,Medication,5962.0,Yes,56.31,4658.0,3.2,26111.0,0.5,71.4
Japan,2019,Alzheimer'S Disease,Autoimmune,0.42,6.12,8.42,61+,Male,877272.0,87.35,0.77,8.77,Medication,45783.0,No,87.45,3415.0,6.4,64352.0,0.68,23.61
Uk,2014,Parkinson'S Disease,Genetic,0.57,10.95,3.6,19-35,Female,598986.0,55.35,2.6,3.4,Medication,14595.0,No,72.66,2006.0,10.0,55578.0,0.42,58.21
Germany,2011,Leprosy,Viral,0.68,0.14,5.84,19-35,Male,478984.0,50.97,1.74,4.6,Vaccination,3670.0,Yes,73.52,1136.0,6.64,22378.0,0.81,84.22
Nigeria,2016,Zika,Neurological,1.0,2.67,5.21,61+,Male,404545.0,59.71,0.74,5.01,Vaccination,44519.0,No,89.61,802.0,8.98,54538.0,0.62,71.24
Argentina,2021,Zika,Respiratory,0.34,10.45,3.55,0-18,Other,848187.0,66.43,2.84,2.43,Surgery,35672.0,Yes,51.12,4184.0,9.89,60302.0,0.77,50.48
Russia,2014,Cholera,Infectious,0.87,6.56,3.29,61+,Other,171688.0,69.89,0.73,8.52,Vaccination,47695.0,Yes,91.56,3934.0,2.59,26571.0,0.51,84.27
Canada,2010,Dengue,Cardiovascular,0.69,9.98,7.28,0-18,Male,307196.0,84.12,1.39,5.42,Medication,794.0,No,81.42,2720.0,3.59,97470.0,0.8,89.09
France,2017,Tuberculosis,Metabolic,0.43,14.84,3.76,61+,Male,436507.0,91.4,2.66,6.39,Vaccination,46958.0,No,67.96,364.0,4.33,70758.0,0.64,59.31
Usa,2019,Influenza,Respiratory,0.53,10.32,3.72,61+,Other,25109.0,69.95,1.15,2.84,Therapy,11818.0,No,98.28,4787.0,0.82,93793.0,0.59,26.44
Indonesia,2012,Influenza,Viral,0.99,5.4,4.74,61+,Female,309830.0,86.91,0.82,1.45,Medication,17739.0,Yes,91.76,4084.0,4.45,95100.0,0.75,81.15
Nigeria,2021,Rabies,Respiratory,0.44,5.76,5.79,19-35,Male,451065.0,75.83,0.69,6.51,Medication,1025.0,Yes,59.08,3790.0,5.89,59714.0,0.61,70.58
Turkey,2021,Leprosy,Respiratory,0.78,12.22,4.46,61+,Female,909142.0,95.41,0.63,3.12,Medication,10721.0,No,70.94,1632.0,7.3,15737.0,0.79,57.2
Saudi Arabia,2010,Zika,Neurological,0.76,7.44,6.09,19-35,Female,340792.0,81.19,4.69,6.04,Vaccination,45266.0,No,76.67,3375.0,4.26,31300.0,0.82,48.17
Usa,2015,Parkinson'S Disease,Genetic,0.15,3.15,1.18,61+,Other,207067.0,90.73,3.48,2.18,Medication,45262.0,No,68.43,4558.0,3.49,22976.0,0.77,57.01
Russia,2012,Measles,Respiratory,0.34,3.52,6.36,0-18,Other,779333.0,64.17,3.8,4.81,Surgery,31331.0,Yes,78.65,1140.0,4.12,14379.0,0.82,26.46
Usa,2020,Hepatitis,Viral,0.37,6.26,0.15,36-60,Female,431229.0,56.27,1.6,5.89,Medication,18948.0,No,53.72,2689.0,2.84,3585.0,0.61,79.7
Canada,2020,Leprosy,Cardiovascular,0.59,9.75,7.22,0-18,Other,924575.0,65.51,1.42,4.37,Surgery,6955.0,Yes,76.62,1429.0,2.09,14881.0,0.65,42.4
Australia,2016,Cancer,Metabolic,0.2,5.6,2.91,19-35,Other,931490.0,55.88,1.41,9.97,Therapy,42884.0,Yes,69.22,353.0,7.32,52859.0,0.54,60.83
Argentina,2019,Tuberculosis,Parasitic,0.29,13.29,9.13,61+,Other,59210.0,97.05,0.54,8.06,Surgery,6356.0,Yes,81.19,279.0,4.46,15722.0,0.61,33.64
Canada,2010,Hiv/Aids,Infectious,0.23,8.52,0.27,61+,Other,985232.0,55.08,2.19,7.32,Medication,48215.0,Yes,84.61,208.0,0.79,15097.0,0.51,35.47
Russia,2024,Cholera,Bacterial,0.95,10.82,2.8,0-18,Male,483488.0,68.21,4.8,6.45,Therapy,49236.0,Yes,72.86,167.0,2.91,36459.0,0.72,22.92
China,2012,Diabetes,Neurological,0.67,6.31,1.15,61+,Male,706862.0,78.96,3.85,6.46,Surgery,49490.0,Yes,66.59,3220.0,2.33,26920.0,0.5,45.8
Mexico,2016,Zika,Bacterial,0.81,3.34,0.74,0-18,Male,93673.0,98.18,4.71,7.42,Medication,45219.0,No,50.7,4605.0,7.83,87964.0,0.56,71.8
South Korea,2012,Alzheimer'S Disease,Respiratory,0.44,2.85,7.51,61+,Male,441169.0,83.21,1.41,3.78,Vaccination,44380.0,No,67.15,3743.0,3.28,36804.0,0.68,73.89
South Africa,2012,Tuberculosis,Genetic,0.88,4.52,0.71,19-35,Male,934064.0,85.8,0.82,7.13,Surgery,2373.0,No,59.78,4028.0,2.19,77298.0,0.57,67.1
India,2013,Hepatitis,Metabolic,0.95,9.5,1.81,19-35,Female,14334.0,71.71,4.98,1.03,Therapy,5463.0,No,89.26,192.0,9.71,46535.0,0.52,61.74
Russia,2023,Hepatitis,Bacterial,0.75,9.93,9.66,19-35,Male,18534.0,50.8,3.92,5.31,Vaccination,7802.0,No,59.5,2872.0,4.03,54641.0,0.88,77.79
Mexico,2019,Zika,Metabolic,0.73,12.79,7.89,19-35,Female,390286.0,98.59,4.88,1.39,Therapy,35675.0,Yes,91.84,2632.0,3.43,18261.0,0.4,38.14
Uk,2010,Alzheimer'S Disease,Metabolic,0.85,3.23,5.98,0-18,Male,12162.0,59.18,0.96,5.31,Therapy,46415.0,Yes,87.99,1085.0,3.48,6056.0,0.82,40.8
China,2012,Ebola,Bacterial,0.55,0.72,8.03,19-35,Other,501757.0,91.87,3.09,2.36,Medication,34162.0,Yes,66.57,131.0,4.02,98868.0,0.62,24.44
Mexico,2021,Measles,Genetic,0.54,3.57,0.91,19-35,Female,597396.0,77.37,1.33,7.74,Vaccination,2310.0,No,86.22,683.0,1.28,36954.0,0.6,70.62
Mexico,2019,Diabetes,Infectious,0.18,2.73,9.14,36-60,Female,505307.0,82.22,0.53,3.46,Surgery,34615.0,No,83.39,3184.0,3.62,72659.0,0.66,59.39
Nigeria,2014,Ebola,Infectious,0.89,1.29,8.16,19-35,Male,72328.0,55.54,4.97,4.95,Medication,35010.0,Yes,98.07,1404.0,9.37,83194.0,0.81,47.13
Brazil,2020,Polio,Infectious,0.71,11.28,6.04,0-18,Male,668190.0,57.22,1.8,9.61,Medication,16799.0,Yes,86.36,3755.0,4.35,2314.0,0.87,70.68
South Korea,2011,Hiv/Aids,Bacterial,0.87,10.08,3.39,36-60,Male,891748.0,55.38,4.35,5.41,Therapy,31274.0,Yes,90.35,4612.0,9.62,29833.0,0.66,63.9
China,2011,Parkinson'S Disease,Neurological,0.44,4.11,4.48,0-18,Other,1383.0,80.87,2.94,5.81,Vaccination,32442.0,Yes,66.59,3552.0,9.35,91040.0,0.56,48.87
Brazil,2010,Dengue,Metabolic,0.48,9.07,3.08,0-18,Male,872630.0,69.28,1.21,5.62,Surgery,20087.0,Yes,65.04,2960.0,0.74,62979.0,0.52,21.49
Germany,2018,Polio,Infectious,0.92,14.9,6.37,19-35,Male,22683.0,72.5,1.41,5.11,Therapy,19607.0,Yes,58.93,2739.0,4.33,65923.0,0.73,76.01
India,2011,Leprosy,Parasitic,0.36,8.88,7.26,61+,Male,395147.0,72.64,4.06,4.91,Vaccination,11796.0,No,86.14,1217.0,2.81,33936.0,0.73,73.85
France,2016,Tuberculosis,Parasitic,0.76,10.71,3.2,19-35,Other,22787.0,68.39,0.58,2.38,Surgery,24230.0,Yes,77.98,1549.0,6.52,37506.0,0.53,81.91
Argentina,2014,Malaria,Bacterial,0.19,1.93,8.92,19-35,Female,718417.0,75.95,2.96,5.06,Surgery,19075.0,Yes,60.3,1455.0,8.03,93815.0,0.57,77.23
South Korea,2012,Zika,Parasitic,0.86,7.91,7.13,19-35,Other,229386.0,94.22,1.57,1.03,Surgery,24317.0,No,60.78,534.0,7.58,49764.0,0.84,83.84
India,2013,Hiv/Aids,Genetic,0.6,3.7,4.53,36-60,Male,317210.0,74.72,2.03,8.94,Vaccination,37144.0,Yes,56.63,1730.0,2.99,12648.0,0.73,24.72
Usa,2011,Cancer,Parasitic,0.73,11.96,9.43,61+,Male,489590.0,77.65,2.16,4.34,Medication,7181.0,No,70.06,1228.0,4.91,23786.0,0.58,53.49
Mexico,2019,Diabetes,Parasitic,0.3,3.68,9.11,36-60,Male,573045.0,54.72,0.89,5.01,Vaccination,12669.0,No,57.86,1146.0,3.72,62302.0,0.64,30.85
Germany,2020,Hepatitis,Autoimmune,0.13,4.41,4.41,0-18,Female,160381.0,63.74,1.96,7.24,Medication,49419.0,Yes,78.75,4278.0,1.38,57712.0,0.64,36.29
Saudi Arabia,2012,Parkinson'S Disease,Autoimmune,0.86,5.02,3.09,36-60,Female,942984.0,99.75,3.31,9.83,Surgery,17094.0,Yes,70.49,2358.0,0.37,16950.0,0.86,62.66
Nigeria,2013,Dengue,Viral,0.35,6.27,0.68,36-60,Other,841872.0,56.96,4.72,5.83,Vaccination,39355.0,No,89.46,3636.0,3.0,89793.0,0.8,32.13
Germany,2013,Malaria,Parasitic,0.46,2.45,2.89,61+,Other,141082.0,82.46,2.9,6.86,Medication,48926.0,No,68.72,2673.0,4.98,48527.0,0.6,49.84
Uk,2022,Cancer,Neurological,0.18,4.47,9.2,19-35,Other,757603.0,72.43,3.81,8.83,Medication,18224.0,No,85.28,3604.0,1.33,37612.0,0.82,36.91
South Africa,2015,Measles,Infectious,0.53,7.68,0.18,61+,Female,29020.0,65.69,4.68,4.72,Vaccination,38139.0,No,95.87,1146.0,0.68,17683.0,0.68,30.13
Uk,2011,Cholera,Metabolic,0.99,9.81,3.71,36-60,Male,498940.0,63.06,1.0,1.92,Medication,16501.0,Yes,61.91,3814.0,0.29,2758.0,0.67,83.01
Italy,2011,Alzheimer'S Disease,Neurological,0.65,11.07,7.97,19-35,Male,719650.0,68.41,4.27,8.91,Therapy,25213.0,No,91.76,1611.0,7.3,87427.0,0.44,77.46
Brazil,2022,Tuberculosis,Viral,0.69,7.2,5.12,36-60,Female,272390.0,77.7,0.64,4.01,Surgery,14651.0,No,86.85,3053.0,6.63,28038.0,0.52,52.75
Turkey,2014,Tuberculosis,Infectious,0.89,5.01,2.05,19-35,Other,887916.0,79.72,0.77,9.98,Surgery,8036.0,Yes,71.0,4177.0,2.02,84461.0,0.66,55.14
France,2016,Parkinson'S Disease,Cardiovascular,0.31,5.07,3.5,36-60,Other,168259.0,75.54,1.98,7.26,Medication,32283.0,No,86.95,778.0,0.95,56444.0,0.75,78.19
Japan,2024,Cholera,Chronic,0.91,7.81,5.22,0-18,Other,509485.0,82.94,4.86,7.21,Surgery,26771.0,Yes,76.74,3398.0,5.77,9251.0,0.67,58.31
Indonesia,2016,Dengue,Neurological,0.34,3.08,0.24,36-60,Male,12000.0,63.76,4.58,8.97,Therapy,1577.0,Yes,65.65,3741.0,1.85,24539.0,0.71,82.61
France,2021,Asthma,Metabolic,0.26,4.95,6.48,61+,Male,952526.0,76.86,2.4,2.21,Vaccination,47985.0,Yes,66.7,4374.0,9.34,52397.0,0.62,33.82
Germany,2017,Asthma,Autoimmune,0.19,14.04,4.91,19-35,Female,247506.0,98.59,3.45,1.3,Surgery,37223.0,No,55.48,4442.0,9.18,76091.0,0.85,81.77
Australia,2011,Cancer,Autoimmune,0.64,12.45,0.14,61+,Female,76568.0,57.26,1.95,6.55,Vaccination,17460.0,Yes,76.36,3015.0,5.23,44113.0,0.87,78.03
Italy,2023,Cancer,Infectious,0.91,8.06,6.98,61+,Male,377884.0,59.88,3.04,4.95,Therapy,34241.0,No,84.38,4574.0,1.65,28825.0,0.41,25.31
Canada,2022,Cancer,Infectious,0.9,7.66,2.64,0-18,Other,254587.0,69.46,4.23,8.27,Vaccination,35324.0,No,56.38,4176.0,7.42,30954.0,0.53,45.72
Italy,2019,Rabies,Cardiovascular,0.49,2.68,0.9,19-35,Male,887670.0,63.24,0.55,8.0,Therapy,23406.0,Yes,93.14,4757.0,7.72,90437.0,0.77,73.2
India,2010,Leprosy,Cardiovascular,0.73,9.06,0.22,61+,Other,917768.0,64.65,3.93,9.86,Vaccination,21143.0,Yes,87.3,3495.0,0.04,83451.0,0.47,74.54
Uk,2019,Hepatitis,Viral,0.48,2.33,2.27,61+,Male,494328.0,79.36,1.78,7.99,Surgery,14927.0,Yes,65.93,3119.0,1.59,65618.0,0.72,41.51
Argentina,2021,Influenza,Neurological,0.44,2.09,8.95,0-18,Female,258247.0,55.08,4.75,6.71,Vaccination,47723.0,No,50.5,1247.0,5.31,12344.0,0.89,73.74
Australia,2010,Ebola,Chronic,0.95,4.76,2.25,61+,Female,906665.0,77.99,4.59,2.75,Therapy,6140.0,No,76.06,3549.0,6.86,93391.0,0.5,45.74
Brazil,2014,Zika,Viral,0.47,7.49,0.6,36-60,Male,53285.0,76.72,3.07,5.63,Medication,22765.0,No,98.93,1771.0,0.04,41898.0,0.63,40.2
Turkey,2015,Tuberculosis,Neurological,0.68,8.44,6.52,61+,Other,846965.0,87.0,4.41,4.03,Vaccination,1153.0,No,54.49,3924.0,2.88,79031.0,0.9,37.16
South Africa,2017,Covid-19,Viral,0.92,3.66,0.77,19-35,Other,163677.0,51.06,3.07,1.05,Therapy,4465.0,Yes,67.53,1728.0,3.07,82008.0,0.43,44.83
Brazil,2014,Covid-19,Chronic,0.21,10.51,2.95,61+,Male,608027.0,69.29,1.35,6.69,Medication,4974.0,No,94.59,3678.0,3.26,54755.0,0.65,33.67
Turkey,2023,Cholera,Cardiovascular,0.81,9.73,0.27,36-60,Female,293188.0,89.59,3.84,2.86,Surgery,18594.0,No,81.77,4639.0,2.91,98762.0,0.89,65.96
Indonesia,2019,Asthma,Infectious,0.73,6.89,9.81,36-60,Other,355097.0,87.12,1.73,3.53,Vaccination,19300.0,Yes,92.06,4718.0,2.21,63325.0,0.57,81.58
Australia,2011,Parkinson'S Disease,Chronic,0.63,12.55,3.52,61+,Other,322201.0,99.28,3.75,3.12,Surgery,30312.0,No,75.22,3901.0,4.79,64090.0,0.79,54.19
Italy,2019,Hypertension,Metabolic,0.59,9.33,6.68,0-18,Male,904430.0,70.3,2.52,9.81,Surgery,14509.0,No,59.48,2703.0,7.17,52639.0,0.41,71.58
Japan,2024,Asthma,Genetic,0.7,7.31,1.71,0-18,Other,754684.0,93.2,1.4,6.01,Medication,43017.0,Yes,78.5,2138.0,9.95,96573.0,0.42,66.88
Russia,2016,Cholera,Cardiovascular,0.43,8.28,6.85,61+,Female,191709.0,94.96,3.68,1.23,Vaccination,26560.0,Yes,81.36,3755.0,5.57,17323.0,0.88,79.85
Japan,2018,Alzheimer'S Disease,Infectious,0.24,0.91,6.57,36-60,Male,379272.0,91.63,0.92,2.77,Therapy,9268.0,No,86.21,4582.0,4.43,60486.0,0.86,82.35
Saudi Arabia,2018,Hiv/Aids,Neurological,0.18,5.3,0.41,61+,Male,301595.0,93.72,2.75,7.7,Medication,6770.0,Yes,76.6,1689.0,0.76,85107.0,0.52,64.68
South Africa,2015,Ebola,Neurological,0.81,7.67,5.39,61+,Female,980822.0,83.08,0.73,6.04,Surgery,13718.0,No,69.11,1307.0,3.65,65957.0,0.81,27.93
Argentina,2015,Tuberculosis,Cardiovascular,0.63,9.66,9.07,61+,Female,82584.0,81.71,2.62,4.68,Surgery,14285.0,No,82.97,2135.0,4.11,45579.0,0.72,85.32
Uk,2021,Malaria,Bacterial,0.75,3.25,9.64,0-18,Other,717683.0,84.76,4.04,2.78,Vaccination,17164.0,No,62.01,404.0,9.96,94763.0,0.79,48.88
Brazil,2011,Polio,Viral,0.11,4.88,9.35,0-18,Male,247566.0,98.79,3.44,4.46,Surgery,28124.0,Yes,71.0,4615.0,1.24,48183.0,0.5,62.43
Japan,2024,Hepatitis,Bacterial,0.13,10.78,4.71,0-18,Female,492086.0,60.78,3.18,4.36,Vaccination,34216.0,Yes,71.35,3947.0,8.71,40823.0,0.61,48.82
France,2023,Cancer,Bacterial,0.81,6.35,9.98,19-35,Other,551758.0,93.18,4.93,2.99,Medication,41440.0,Yes,83.25,266.0,1.07,48264.0,0.41,44.43
Russia,2023,Hiv/Aids,Genetic,0.44,6.67,8.06,36-60,Other,563077.0,52.91,2.53,2.34,Medication,6389.0,Yes,90.75,1634.0,7.97,56880.0,0.44,65.75
Brazil,2014,Covid-19,Viral,0.45,5.62,8.18,19-35,Other,335143.0,66.29,2.53,8.54,Medication,45487.0,Yes,98.48,3517.0,6.85,35370.0,0.89,85.55
Brazil,2016,Cancer,Autoimmune,0.69,9.42,5.7,36-60,Other,876182.0,84.78,0.71,2.21,Therapy,36280.0,No,58.62,2677.0,2.73,35387.0,0.81,44.91
Australia,2017,Cancer,Viral,0.65,6.03,5.9,36-60,Female,430282.0,57.44,0.9,0.69,Medication,47817.0,Yes,80.06,12.0,5.95,14738.0,0.71,34.81
South Africa,2015,Cholera,Autoimmune,0.11,3.54,9.96,0-18,Female,73011.0,69.58,3.48,7.72,Medication,36292.0,Yes,61.12,4958.0,3.16,70709.0,0.76,58.69
Australia,2019,Alzheimer'S Disease,Autoimmune,0.19,13.53,5.01,36-60,Male,939626.0,90.67,4.95,6.95,Medication,13591.0,No,85.73,1386.0,0.98,69961.0,0.68,23.19
Saudi Arabia,2022,Cholera,Parasitic,0.34,11.73,6.3,36-60,Male,11762.0,66.2,3.05,8.48,Medication,21358.0,No,96.44,4893.0,7.66,95747.0,0.78,35.53
China,2017,Cholera,Chronic,0.79,11.56,5.2,0-18,Other,269776.0,75.67,3.11,2.77,Surgery,22651.0,No,96.26,1639.0,3.12,69428.0,0.55,67.21
Canada,2024,Parkinson'S Disease,Cardiovascular,0.18,2.42,4.46,61+,Female,406131.0,69.6,2.99,8.51,Therapy,24369.0,No,51.08,510.0,4.54,45520.0,0.68,24.35
Nigeria,2013,Dengue,Bacterial,0.2,6.89,1.34,36-60,Other,884643.0,51.23,0.62,0.51,Vaccination,38841.0,Yes,83.48,409.0,1.22,5740.0,0.4,65.6
Canada,2021,Asthma,Viral,0.97,4.71,2.18,0-18,Male,932908.0,53.2,1.31,0.87,Medication,37873.0,Yes,52.62,1216.0,5.16,26272.0,0.61,22.9
Japan,2016,Dengue,Autoimmune,0.72,3.28,4.6,61+,Female,636220.0,84.95,3.77,6.45,Surgery,27329.0,No,65.6,2157.0,3.48,90243.0,0.44,59.36
South Africa,2012,Covid-19,Neurological,0.82,2.94,1.47,0-18,Male,859055.0,59.54,1.9,7.33,Surgery,37582.0,Yes,70.19,1080.0,4.45,6599.0,0.48,75.47
Italy,2015,Hiv/Aids,Autoimmune,0.33,5.44,2.17,0-18,Male,839966.0,77.46,3.9,4.78,Vaccination,3121.0,No,68.74,4902.0,9.05,80411.0,0.52,35.05
Brazil,2013,Hepatitis,Chronic,0.9,4.58,0.98,61+,Female,972223.0,84.23,0.63,5.08,Therapy,34385.0,Yes,51.16,4076.0,4.63,96518.0,0.81,66.28
Italy,2021,Leprosy,Viral,0.59,0.35,3.2,36-60,Male,93330.0,78.43,3.29,1.26,Surgery,19380.0,Yes,91.14,2741.0,4.92,65743.0,0.73,41.45
Brazil,2019,Alzheimer'S Disease,Respiratory,0.35,4.53,6.46,36-60,Other,337315.0,95.78,1.78,2.09,Medication,43770.0,Yes,90.46,4779.0,1.37,88766.0,0.89,20.91
